latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
45.12443,25.41923,302.43,0.39,0.36,2023-10-17,22,1,VIIRS,n,2.0NRT,274.98,0.55,N
45.3749,30.92628,328.51,0.55,0.42,2023-10-17,22,1,VIIRS,n,2.0NRT,290.57,5.57,N
45.37575,30.92653,330.15,0.55,0.42,2023-10-17,22,1,VIIRS,n,2.0NRT,290.87,4.35,N
45.95082,25.28269,305.56,0.39,0.36,2023-10-17,22,1,VIIRS,n,2.0NRT,275.53,0.88,N
46.7649,33.0819,316.3,0.42,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,281.04,2.13,N
46.81179,36.77393,311.03,0.6,0.53,2023-10-17,22,1,VIIRS,n,2.0NRT,275.24,2.49,N
46.8138,36.76655,319.18,0.6,0.53,2023-10-17,22,1,VIIRS,n,2.0NRT,275.24,2.32,N
46.81579,36.75921,295.19,0.6,0.53,2023-10-17,22,1,VIIRS,n,2.0NRT,274.82,2.32,N
47.78431,29.01851,304.74,0.43,0.38,2023-10-17,22,1,VIIRS,n,2.0NRT,278.72,0.99,N
47.78926,28.9546,305.27,0.43,0.38,2023-10-17,22,1,VIIRS,n,2.0NRT,277.94,1.51,N
47.83585,38.47734,301.53,0.33,0.55,2023-10-17,22,1,VIIRS,n,2.0NRT,276.24,1.55,N
47.8619,35.14307,300.61,0.48,0.48,2023-10-17,22,1,VIIRS,n,2.0NRT,277.68,1.81,N
47.86671,33.42852,324.27,0.4,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,276.55,3.34,N
47.86723,35.15973,300.19,0.48,0.48,2023-10-17,22,1,VIIRS,n,2.0NRT,277.08,1.44,N
47.8714,35.16203,314.59,0.48,0.48,2023-10-17,22,1,VIIRS,n,2.0NRT,276.64,1.44,N
47.87331,33.43766,297.72,0.4,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,277.72,0.92,N
47.87423,33.41507,298.95,0.4,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,278.36,1.17,N
47.87664,33.40477,301.77,0.4,0.44,2023-10-17,22,1,VIIRS,n,2.0NRT,276.62,1.09,N
47.87822,35.17272,297.72,0.48,0.48,2023-10-17,22,1,VIIRS,n,2.0NRT,275.71,0.53,N
47.87828,35.17403,304.15,0.48,0.48,2023-10-17,22,1,VIIRS,n,2.0NRT,276.2,1.18,N
47.8794,35.18711,335.98,0.48,0.48,2023-10-17,22,1,VIIRS,n,2.0NRT,277.5,3.45,N
47.8794,35.18837,332.32,0.48,0.48,2023-10-17,22,1,VIIRS,n,2.0NRT,276.98,4.17,N
47.94558,40.62793,306.87,0.41,0.61,2023-10-17,22,1,VIIRS,n,2.0NRT,275.5,1.2,N
47.95225,40.62619,300.36,0.41,0.6,2023-10-17,22,1,VIIRS,n,2.0NRT,274.78,0.66,N
48.33588,9.72847,297.27,0.47,0.64,2023-10-17,22,1,VIIRS,n,2.0NRT,271.85,0.99,N
48.35212,17.73755,323.1,0.4,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,263.12,1.77,N
48.35491,17.7384,323.15,0.4,0.45,2023-10-17,22,1,VIIRS,n,2.0NRT,262.54,1.99,N
48.47415,34.63128,303.21,0.44,0.46,2023-10-17,22,1,VIIRS,n,2.0NRT,277.98,0.95,N
48.47427,34.62965,304.2,0.44,0.46,2023-10-17,22,1,VIIRS,n,2.0NRT,277.57,1.21,N
48.51942,34.63201,306.7,0.44,0.46,2023-10-17,22,1,VIIRS,n,2.0NRT,276.78,1.11,N
48.52078,34.62639,297.3,0.44,0.46,2023-10-17,22,1,VIIRS,n,2.0NRT,276.78,1.18,N
48.52874,34.6498,314.39,0.44,0.46,2023-10-17,22,1,VIIRS,n,2.0NRT,276.95,1.9,N
48.60253,21.18058,309.6,0.45,0.39,2023-10-17,22,1,VIIRS,n,2.0NRT,273.86,1.61,N
48.60609,21.18154,297.15,0.45,0.39,2023-10-17,22,1,VIIRS,n,2.0NRT,274.83,4.97,N
48.60681,21.17539,326.34,0.46,0.39,2023-10-17,22,1,VIIRS,n,2.0NRT,276.83,4.97,N
48.60892,21.18864,295.22,0.45,0.39,2023-10-17,22,1,VIIRS,n,2.0NRT,276.46,1.1,N
48.61176,21.19574,296.93,0.45,0.39,2023-10-17,22,1,VIIRS,n,2.0NRT,276.3,1.56,N
48.62032,21.18539,298.36,0.45,0.39,2023-10-17,22,1,VIIRS,n,2.0NRT,273.69,0.87,N
48.74854,26.60628,296.19,0.39,0.36,2023-10-17,22,1,VIIRS,n,2.0NRT,276.78,0.46,N
